Rank,Male_Name,Number,Female_Name,Number
1,Noah,145195,Emma,158573
2,Jacob,140091,Sophia,152936
3,Mason,133535,Olivia,147486
4,Liam,133019,Isabella,142064
5,William,131241,Ava,125937
6,Ethan,125561,Mia,103580
7,Michael,122265,Emily,100414
8,Alexander,118376,Abigail,99356
9,James,112387,Madison,84803
10,Daniel,111658,Elizabeth,77233
11,Elijah,110075,Charlotte,76031
12,Aiden,109852,Chloe,71994
13,Jayden,109122,Ella,69455
14,Benjamin,107648,Amelia,68291
15,Matthew,105429,Avery,67348
16,Logan,103560,Sofia,67210
17,David,97485,Evelyn,65950
18,Joseph,96402,Harper,63891
19,Anthony,96047,Addison,61128
20,Jackson,95366,Grace,59916
21,Lucas,93291,Natalie,58058
22,Joshua,91763,Victoria,57341
23,Andrew,90612,Lily,56929
24,Gabriel,89047,Aubrey,55966
25,Samuel,88573,Lillian,54092
26,Christopher,87472,Zoey,53116
27,John,84405,Hannah,52980
28,Dylan,80013,Brooklyn,51180
29,Ryan,77754,Layla,50012
30,Isaac,77547,Samantha,49532
31,Carter,76938,Zoe,47767
32,Luke,76025,Leah,46077
33,Nathan,74907,Riley,44314
34,Caleb,73095,Scarlett,43871
35,Owen,72271,Anna,43076
36,Christian,71561,Savannah,42744
37,Henry,70923,Camila,42493
38,Oliver,70495,Audrey,42372
39,Wyatt,69536,Allison,41781
40,Jonathan,68389,Gabriella,40789
41,Landon,67793,Hailey,40689
42,Jack,67256,Sarah,39359
43,Sebastian,66499,Claire,39140
44,Hunter,63145,Aaliyah,39043
45,Isaiah,62992,Kaylee,38986
46,Julian,62534,Nevaeh,38227
47,Levi,60061,Aria,37602
48,Aaron,58763,Alexis,37274
49,Eli,58012,Alexa,36879
50,Brayden,57724,Arianna,36174
51,Nicholas,57156,Penelope,34283
52,Connor,56901,Alyssa,34259
53,Charles,56763,Bella,34040
54,Thomas,56327,Stella,33983
55,Evan,56310,Ariana,33806
56,Jeremiah,55780,Peyton,33759
57,Gavin,55746,Taylor,33596
58,Cameron,55469,Lucy,33080
59,Jordan,55165,Ashley,32875
60,Adrian,54258,Brianna,32648
61,Jaxon,53916,Ellie,32503
62,Angel,52852,Genesis,32307
63,Tyler,52836,Nora,32242
64,Robert,52404,Maya,31932
65,Austin,49875,Madelyn,31898
66,Grayson,49323,Serenity,31662
67,Josiah,49321,Caroline,31480
68,Brandon,48095,Kylie,31342
69,Colton,47270,Violet,31217
70,Jose,46635,Kennedy,30876
71,Dominic,45803,Skylar,30868
72,Kevin,45442,Autumn,30769
73,Zachary,44334,Sadie,30050
74,Chase,43561,Julia,30046
75,Ian,43114,Mackenzie,29791
76,Jason,42981,Khloe,29551
77,Ayden,42454,Sophie,29471
78,Adam,41676,Katherine,28942
79,Parker,41204,Paisley,28839
80,Cooper,40158,Mila,28539
81,Justin,40114,Eva,28383
82,Xavier,39989,Naomi,28249
83,Nolan,38954,Eleanor,28127
84,Jace,38931,Gianna,27737
85,Hudson,38319,Melanie,27596
86,Carson,38124,Aubree,27434
87,Bentley,37498,Faith,27047
88,Lincoln,37035,Kayla,26706
89,Blake,37024,Piper,26596
90,Easton,36374,Madeline,26546
91,Nathaniel,35258,Lydia,26379
92,Asher,34455,Alexandra,26376
93,Mateo,33275,Ruby,26028
94,Jaxson,32967,Lauren,25639
95,Tristan,32777,Annabelle,25187
96,Luis,32736,Makayla,25147
97,Brody,32449,Jasmine,25010
98,Kayden,32251,Sydney,24757
99,Juan,31817,Bailey,24220
100,Bryson,30657,Morgan,24174
101,Leo,30322,Kimberly,23971
102,Cole,29902,Maria,23563
103,Vincent,29850,Hazel,23421
104,Elias,29772,Alice,23353
105,Ryder,29613,Isabelle,23272
106,Carlos,29531,Reagan,23252
107,Micah,29310,Jocelyn,23222
108,Jesus,28563,London,23187
109,Max,28447,Andrea,22991
110,Damian,28189,Trinity,22854
111,Miles,27640,Rylee,22799
112,Alex,27552,Aurora,22215
113,Diego,27472,Natalia,21970
114,Eric,26846,Molly,21964
115,Maxwell,26840,Vivian,21286
116,Santiago,26693,Jade,21076
117,Leonardo,26542,Elena,21020
118,Sawyer,26535,Liliana,20981
119,Ezra,25914,Mary,20931
120,Roman,25704,Eliana,20871
121,Hayden,25544,Brooke,20799
122,Theodore,25443,Clara,20748
123,Giovanni,24902,Quinn,20584
124,Bryce,24804,Cora,20572
125,Camden,24640,Brielle,20294
126,Ivan,24265,Payton,20233
127,Braxton,24170,Lilly,20062
128,Ashton,24048,Hadley,19992
129,Greyson,23817,Valentina,19947
130,Wesley,23704,Mariah,19763
131,Timothy,23670,Paige,19736
132,Antonio,23605,Nicole,19463
133,Declan,23265,Luna,19357
134,Axel,23163,Mya,19319
135,Steven,22779,Jordyn,19215
136,Bryan,22575,Kinsley,18851
137,Jonah,22557,Delilah,18761
138,Richard,22540,Destiny,18760
139,Miguel,22531,Willow,18417
140,Kaiden,22481,Isabel,18400
141,Silas,22443,Lyla,18122
142,Aidan,22263,Angelina,18004
143,Kaleb,22235,Rachel,17863
144,George,22065,Kendall,17785
145,Colin,21825,Josephine,17719
146,Jaden,21800,Valeria,17401
147,Victor,21751,Sara,17203
148,Harrison,21647,Vanessa,16957
149,Joel,21527,Kaitlyn,16816
150,Weston,21418,Mckenzie,16775
151,Preston,21252,Adeline,16763
152,Patrick,21234,Amy,16726
153,Alejandro,21130,Aliyah,16639
154,Kaden,21119,Reese,16557
155,Kyle,20989,Gabrielle,16543
156,Brian,20930,Laila,16537
157,Ezekiel,20926,Juliana,16462
158,Edward,20846,Ivy,16447
159,Jesse,20651,Ximena,16242
160,Marcus,20420,Jessica,16126
161,Emmanuel,20331,Brooklynn,16076
162,Maddox,20317,Gracie,15994
163,Riley,20223,Eden,15789
164,Jude,20026,Ariel,15778
165,Alan,19782,Adriana,15500
166,Jeremy,19754,Emilia,15492
167,Grant,19588,Margaret,15455
168,Jameson,19548,Isla,15382
169,Malachi,19466,Valerie,15289
170,Everett,19258,Katelyn,15282
171,Caden,19227,Adalynn,15208
172,Emmett,19125,Melody,15182
173,Sean,19029,Elise,15081
174,Brady,19008,Adalyn,15059
175,Jayce,18937,Michelle,14930
176,Kingston,18846,Emery,14912
177,Jake,18813,Rebecca,14699
178,Kai,18699,Daisy,14380
179,Brantley,18631,Catherine,14300
180,Oscar,18384,Alaina,14165
181,Abel,18320,Makenzie,13964
182,Bennett,18043,Stephanie,13884
183,Ryker,17741,Ryleigh,13882
184,Abraham,17714,Jayla,13861
185,Calvin,17627,Lila,13751
186,Mark,17486,Norah,13740
187,Bradley,17169,Izabella,13709
188,Tucker,17030,Londyn,13705
189,Nicolas,16931,Summer,13642
190,Cayden,16886,Julianna,13547
191,Kenneth,16859,Jennifer,13513
192,Luca,16853,Daniela,13370
193,Avery,16327,Alana,13343
194,Paul,15818,Kylee,13281
195,Derek,15424,Hayden,13179
196,Gage,15271,Giselle,13086
197,King,15268,Eliza,12956
198,Jase,15209,Angela,12939
199,Maximus,15169,Athena,12922
200,Maverick,15100,Leilani,12890